Title,Published,Summary
Cyber Security Behaviour In Organisations,2020-04-24T14:17:46Z,"This review explores the academic and policy literature in the context of
everyday cyber security in organisations. In so doing, it identifies four
behavioural sets that influences how people practice cyber security. These are
compliance with security policy, intergroup coordination and communication,
phishing/email behaviour, and password behaviour. However, it is important to
note that these are not exhaustive and they do not exist in isolation. In
addition, the review explores the notion of security culture as an overarching
theme that overlaps and frames the four behavioural sets. The aim of this
review is therefore to provide a summary of the existing literature in the area
of everyday cyber security within the social sciences, with a particular focus
on organisational contexts. In doing so, it develops a series of suggestions
for future research directions based on existing gaps in the literature. The
review also includes a theoretical lens that will aid the understanding of
existing studies and wider literatures. Where possible, the review makes
recommendations for organisations in relation to everyday cyber security."
Uncertainty in Cyber Security Investments,2017-12-16T02:05:44Z,"When undertaking cyber security risk assessments, we must assign numeric
values to metrics to compute the final expected loss that represents the risk
that an organization is exposed to due to cyber threats. Even if risk
assessment is motivated from real-world observations and data, there is always
a high chance of assigning inaccurate values due to different uncertainties
involved (e.g., evolving threat landscape, human errors) and the natural
difficulty of quantifying risk per se. Our previous work has proposed a model
and a software tool that empowers organizations to compute optimal cyber
security strategies given their financial constraints, i.e., available cyber
security budget. We have also introduced a general game-theoretic model with
uncertain payoffs (probability-distribution-valued payoffs) showing that such
uncertainty can be incorporated in the game-theoretic model by allowing payoffs
to be random. In this paper, we combine our aforesaid works and we conclude
that although uncertainties in cyber security risk assessment lead, on average,
to different cyber security strategies, they do not play significant role into
the final expected loss of the organization when using our model and
methodology to derive this strategies. We show that our tool is capable of
providing effective decision support. To the best of our knowledge this is the
first paper that investigates how uncertainties on various parameters affect
cyber security investments."
Cyber security and the Leviathan,2022-03-10T09:35:36Z,"Dedicated cyber-security functions are common in commercial businesses, who
are confronted by evolving and pervasive threats of data breaches and other
perilous security events. Such businesses are enmeshed with the wider societies
in which they operate. Using data gathered from in-depth, semi-structured
interviews with 15 Chief Information Security Officers, as well as six senior
organisational leaders, we show that the work of political philosopher Thomas
Hobbes, particularly Leviathan, offers a useful lens through which to
understand the context of these functions and of cyber security in Western
society. Our findings indicate that cyber security within these businesses
demonstrates a number of Hobbesian features that are further implicated in, and
provide significant benefits to, the wider Leviathan-esque state. These include
the normalisation of intrusive controls, such as surveillance, and the
stimulation of consumption. We conclude by suggesting implications for
cyber-security practitioners, in particular, the reflexivity that these
perspectives offer, as well as for businesses and other researchers."
Mathematical and Statistical Opportunities in Cyber Security,2009-04-09T22:30:03Z,"The role of mathematics in a complex system such as the Internet has yet to
be deeply explored. In this paper, we summarize some of the important and
pressing problems in cyber security from the viewpoint of open science
environments. We start by posing the question ""What fundamental problems exist
within cyber security research that can be helped by advanced mathematics and
statistics?"" Our first and most important assumption is that access to
real-world data is necessary to understand large and complex systems like the
Internet. Our second assumption is that many proposed cyber security solutions
could critically damage both the openness and the productivity of scientific
research. After examining a range of cyber security problems, we come to the
conclusion that the field of cyber security poses a rich set of new and
exciting research opportunities for the mathematical and statistical sciences."
Cyber Security of Smart Grid Infrastructure,2014-01-16T08:53:28Z,"Smart grid security is crucial to maintain stable and reliable power system
operation during the contingency situation due to the failure of any critical
power system component. Ensuring a secured smart grid involves with a less
possibility of power grid collapse or equipment malfunction. Due to lack of the
proper security measures, a major blackout may occur which can even lead to a
cascading failure. Therefore, to protect this critical power system
infrastructure and to ensure a reliable and an uninterrupted power supply to
the end users, smart grid security issues must be addressed with high priority.
In a smart grid environment, electric power infrastructure is modernized by
incorporating the current and future requirements and advanced functionalities
to its consumers. To make the smart grid happen, cyber system is integrated
with the physical power system. Although adoption of cyber system has made the
grid more energy efficient and modernized, it has introduced cyber-attack
issues which are critical for national infrastructure security and customer
satisfaction. Due to the cyber-attack, power grid may face operational failures
and loss of synchronization. This operational failure may damage critical power
system components which may interrupt the power supply and make the system
unstable resulting high financial penalties. In this chapter, some recent cyber
attack related incidents into a smart grid environment are discussed. The
requirements and the state of the art of cyber security issues of a critical
power system infrastructure are illustrated elaborately."
Prediction in Cyber Security: Complications and Consolations,2018-04-23T19:04:02Z,"Uncertainty, error, and similar complications add to the many challenges of
cyber security. Various disciplines have developed methods for managing these
complications, but applying these methods involves disambiguating overlapping
terminology and determining a method's proper usage in the context of cyber
security, which has unique properties. This process is here guided by the need
for prediction, which is required for cyber security to become more like
traditional sciences. A motivating malware analysis example is defined. A
five-element ontology of complications for prediction is presented, and
concepts from numerous disciplines are mapped to it in terms of the motivating
example."
Automated Big Traffic Analytics for Cyber Security,2018-04-24T13:36:54Z,"Network traffic analytics technology is a cornerstone for cyber security
systems. We demonstrate its use through three popular and contemporary cyber
security applications in intrusion detection, malware analysis and botnet
detection. However, automated traffic analytics faces the challenges raised by
big traffic data. In terms of big data's three characteristics --- volume,
variety and velocity, we review three state of the art techniques to mitigate
the key challenges including real-time traffic classification, unknown traffic
classification, and efficiency of classifiers. The new techniques using
statistical features, unknown discovery and correlation analytics show
promising potentials to deal with big traffic data. Readers are encouraged to
devote to improving the performance and practicability of automatic traffic
analytic in cyber security."
Advanced Analytics for Connected Cars Cyber Security,2017-11-06T15:13:35Z,"The vehicular connectivity revolution is fueling the automotive industry's
most significant transformation seen in decades. However, as modern vehicles
become more connected, they also become much more vulnerable to cyber-attacks.
In this paper, a fully working machine learning approach is proposed to protect
connected vehicles (fleets and individuals) against such attacks. We present a
system that monitors different vehicle's interfaces (Network, CAN and OS),
extracts relevant information based on configurable rules and sends it to a
trained generative model to detect deviations from normal behavior. Using
configurable data collector, we provide a higher level of data abstraction as
the model is trained based on events instead of raw data, which has a
noise-filtering effect and eliminates the need to retrain the model whenever a
protocol changes. We present a new approach for detecting anomalies, tailored
to the temporal nature of our domain. Adapting the hybrid approach of Gutflaish
et al. (2017) to the fully temporal setting, we first train a Hidden Markov
Model to learn normal vehicle behavior, and then a regression model to
calibrate the likelihood threshold for anomaly. Using this architecture, our
method detects sophisticated and realistic anomalies, which are missed by other
existing methods monitoring the CAN bus only. We also demonstrate the
superiority of adaptive thresholds over static ones. Furthermore, our approach
scales efficiently from monitoring individual cars to serving large fleets. We
demonstrate the competitive advantage of our model via encouraging empirical
results."
Detecting periodic subsequences in cyber security data,2017-06-05T03:26:31Z,"Statistical approaches to cyber-security involve building realistic
probability models of computer network data. In a data pre-processing phase,
separating automated events from those caused by human activity should improve
statistical model building and enhance anomaly detection capabilities. This
article presents a changepoint detection framework for identifying periodic
subsequences of event times. The opening event of each subsequence can be
interpreted as a human action which then generates an automated, periodic
process. Difficulties arising from the presence of duplicate and missing data
are addressed. The methodology is demonstrated using authentication data from
the computer network of Los Alamos National Laboratory."
Airport Cyber Security and Cyber Resilience Controls,2019-08-26T20:00:00Z,"Cyber Security scares are the main areas of demerits associated with the
advent and widespread of internet technology. While the internet has improved
life and business processes, the levels of security threats have been
increasing proportionally. As such, the web and the related cyber systems have
exposed the world to the state of continuous vigilance because of the
existential threats of attacks. Criminals are in the constant state of
attempting cybersecurity defense of various infrastructures and businesses.
Airports are some of the areas where cybersecurity means a lot of things. The
reason for the criticality of cybersecurity in airports concerns the high
integration of internet and computer systems in the operations of airports.
This paper is about airport cybersecurity and resilience controls. At the start
of the article is a comprehensive introduction that provides a preview of the
entire content. In the paper, there are discussions of airport intelligence
classification, cybersecurity malicious threats analysis, and research
methodology. A concise conclusion marks the end of the article."
